tick,event,task
0,SWITCH,task1
0,SEM_WAIT,task1
0,SEM_WAIT,task1
0,SEM_SIGNAL,task1
0,SEM_SIGNAL,task1
0,SWITCH,task2
0,SEM_WAIT,task2
0,SEM_WAIT,task2
0,SEM_SIGNAL,task2
0,SEM_SIGNAL,task2
0,SWITCH,task3
0,SWITCH,idle
0,ISR_ENTER,idle
1,ISR_EXIT,idle
1,ISR_ENTER,idle
2,ISR_EXIT,idle
2,ISR_ENTER,idle
3,ISR_EXIT,idle
3,ISR_ENTER,idle
4,ISR_EXIT,idle
4,ISR_ENTER,idle
5,ISR_EXIT,idle
5,ISR_ENTER,idle
6,ISR_EXIT,idle
6,ISR_ENTER,idle
7,ISR_EXIT,idle
7,ISR_ENTER,idle
8,ISR_EXIT,idle
8,ISR_ENTER,idle
9,ISR_EXIT,idle
9,ISR_ENTER,idle
10,ISR_EXIT,idle
10,ISR_ENTER,idle
11,ISR_EXIT,idle
11,ISR_ENTER,idle
12,ISR_EXIT,idle
12,ISR_ENTER,idle
13,ISR_EXIT,idle
13,ISR_ENTER,idle
14,ISR_EXIT,idle
14,ISR_ENTER,idle
15,ISR_EXIT,idle
15,ISR_ENTER,idle
16,ISR_EXIT,idle
16,ISR_ENTER,idle
17,ISR_EXIT,idle
17,ISR_ENTER,idle
18,ISR_EXIT,idle
18,ISR_ENTER,idle
19,ISR_EXIT,idle
19,ISR_ENTER,idle
20,ISR_EXIT,idle
20,ISR_ENTER,idle
21,ISR_EXIT,idle
21,ISR_ENTER,idle
22,ISR_EXIT,idle
22,ISR_ENTER,idle
23,ISR_EXIT,idle
23,ISR_ENTER,idle
24,ISR_EXIT,idle
24,ISR_ENTER,idle
25,ISR_EXIT,idle
25,ISR_ENTER,idle
26,ISR_EXIT,idle
26,ISR_ENTER,idle
27,ISR_EXIT,idle
27,ISR_ENTER,idle
28,ISR_EXIT,idle
28,ISR_ENTER,idle
29,ISR_EXIT,idle
29,ISR_ENTER,idle
30,THREAD_READY,task1
30,SWITCH,task1
30,ISR_EXIT,idle
30,SEM_WAIT,task1
30,SEM_WAIT,task1
30,SEM_SIGNAL,task1
30,SEM_SIGNAL,task1
30,SWITCH,idle
30,ISR_ENTER,idle
31,ISR_EXIT,idle
31,ISR_ENTER,idle
32,ISR_EXIT,idle
32,ISR_ENTER,idle
33,ISR_EXIT,idle
33,ISR_ENTER,idle
34,ISR_EXIT,idle
34,ISR_ENTER,idle
35,THREAD_READY,task2
35,SWITCH,task2
35,ISR_EXIT,idle
35,SEM_WAIT,task2
35,SEM_WAIT,task2
35,SEM_SIGNAL,task2
35,SEM_SIGNAL,task2
35,SWITCH,idle
35,ISR_ENTER,idle
36,ISR_EXIT,idle
36,ISR_ENTER,idle
37,ISR_EXIT,idle
37,ISR_ENTER,idle
38,ISR_EXIT,idle
38,ISR_ENTER,idle
39,ISR_EXIT,idle
39,ISR_ENTER,idle
40,ISR_EXIT,idle
40,ISR_ENTER,idle
41,ISR_EXIT,idle
41,ISR_ENTER,idle
42,ISR_EXIT,idle
42,ISR_ENTER,idle
43,ISR_EXIT,idle
43,ISR_ENTER,idle
44,ISR_EXIT,idle
44,ISR_ENTER,idle
45,ISR_EXIT,idle
45,ISR_ENTER,idle
46,ISR_EXIT,idle
46,ISR_ENTER,idle
47,ISR_EXIT,idle
47,ISR_ENTER,idle
48,ISR_EXIT,idle
48,ISR_ENTER,idle
49,ISR_EXIT,idle
49,ISR_ENTER,idle
50,THREAD_READY,task3
50,SWITCH,task3
50,ISR_EXIT,idle
50,SWITCH,idle
50,ISR_ENTER,idle
51,ISR_EXIT,idle
51,ISR_ENTER,idle
52,ISR_EXIT,idle
52,ISR_ENTER,idle
53,ISR_EXIT,idle
53,ISR_ENTER,idle
54,ISR_EXIT,idle
54,ISR_ENTER,idle
55,ISR_EXIT,idle
55,ISR_ENTER,idle
56,ISR_EXIT,idle
56,ISR_ENTER,idle
57,ISR_EXIT,idle
57,ISR_ENTER,idle
58,ISR_EXIT,idle
58,ISR_ENTER,idle
59,ISR_EXIT,idle
59,ISR_ENTER,idle
60,THREAD_READY,task1
60,SWITCH,task1
60,ISR_EXIT,idle
60,SEM_WAIT,task1
60,SEM_WAIT,task1
60,SEM_SIGNAL,task1
60,SEM_SIGNAL,task1
60,SWITCH,idle
60,ISR_ENTER,idle
61,ISR_EXIT,idle
61,ISR_ENTER,idle
62,ISR_EXIT,idle
62,ISR_ENTER,idle
63,ISR_EXIT,idle
63,ISR_ENTER,idle
64,ISR_EXIT,idle
64,ISR_ENTER,idle
65,ISR_EXIT,idle
65,ISR_ENTER,idle
66,ISR_EXIT,idle
66,ISR_ENTER,idle
67,ISR_EXIT,idle
67,ISR_ENTER,idle
68,ISR_EXIT,idle
68,ISR_ENTER,idle
69,ISR_EXIT,idle
69,ISR_ENTER,idle
70,THREAD_READY,task2
70,SWITCH,task2
70,ISR_EXIT,idle
70,SEM_WAIT,task2
70,SEM_WAIT,task2
70,SEM_SIGNAL,task2
70,SEM_SIGNAL,task2
70,SWITCH,idle
70,ISR_ENTER,idle
71,ISR_EXIT,idle
71,ISR_ENTER,idle
72,ISR_EXIT,idle
72,ISR_ENTER,idle
73,ISR_EXIT,idle
73,ISR_ENTER,idle
74,ISR_EXIT,idle
74,ISR_ENTER,idle
75,ISR_EXIT,idle
75,ISR_ENTER,idle
76,ISR_EXIT,idle
76,ISR_ENTER,idle
77,ISR_EXIT,idle
77,ISR_ENTER,idle
78,ISR_EXIT,idle
78,ISR_ENTER,idle
79,ISR_EXIT,idle
79,ISR_ENTER,idle
80,ISR_EXIT,idle
80,ISR_ENTER,idle
81,ISR_EXIT,idle
81,ISR_ENTER,idle
82,ISR_EXIT,idle
82,ISR_ENTER,idle
83,ISR_EXIT,idle
83,ISR_ENTER,idle
84,ISR_EXIT,idle
84,ISR_ENTER,idle
85,ISR_EXIT,idle
85,ISR_ENTER,idle
86,ISR_EXIT,idle
86,ISR_ENTER,idle
87,ISR_EXIT,idle
87,ISR_ENTER,idle
88,ISR_EXIT,idle
88,ISR_ENTER,idle
89,ISR_EXIT,idle
89,ISR_ENTER,idle
90,THREAD_READY,task1
90,SWITCH,task1
90,ISR_EXIT,idle
90,SEM_WAIT,task1
90,SEM_WAIT,task1
90,SEM_SIGNAL,task1
90,SEM_SIGNAL,task1
90,SWITCH,idle
90,ISR_ENTER,idle
91,ISR_EXIT,idle
91,ISR_ENTER,idle
92,ISR_EXIT,idle
92,ISR_ENTER,idle
93,ISR_EXIT,idle
93,ISR_ENTER,idle
94,ISR_EXIT,idle
94,ISR_ENTER,idle
95,ISR_EXIT,idle
95,ISR_ENTER,idle
96,ISR_EXIT,idle
96,ISR_ENTER,idle
97,ISR_EXIT,idle
97,ISR_ENTER,idle
98,ISR_EXIT,idle
98,ISR_ENTER,idle
99,ISR_EXIT,idle
99,ISR_ENTER,idle
100,THREAD_READY,task3
100,SWITCH,task3
100,ISR_EXIT,idle
100,SWITCH,idle
100,ISR_ENTER,idle
101,ISR_EXIT,idle
101,ISR_ENTER,idle
102,ISR_EXIT,idle
102,ISR_ENTER,idle
103,ISR_EXIT,idle
103,ISR_ENTER,idle
104,ISR_EXIT,idle
104,ISR_ENTER,idle
105,THREAD_READY,task2
105,SWITCH,task2
105,ISR_EXIT,idle
105,SEM_WAIT,task2
105,SEM_WAIT,task2
105,SEM_SIGNAL,task2
105,SEM_SIGNAL,task2
105,SWITCH,idle
105,ISR_ENTER,idle
106,ISR_EXIT,idle
106,ISR_ENTER,idle
107,ISR_EXIT,idle
107,ISR_ENTER,idle
108,ISR_EXIT,idle
108,ISR_ENTER,idle
109,ISR_EXIT,idle
109,ISR_ENTER,idle
110,ISR_EXIT,idle
110,ISR_ENTER,idle
111,ISR_EXIT,idle
111,ISR_ENTER,idle
112,ISR_EXIT,idle
112,ISR_ENTER,idle
113,ISR_EXIT,idle
113,ISR_ENTER,idle
114,ISR_EXIT,idle
114,ISR_ENTER,idle
115,ISR_EXIT,idle
115,ISR_ENTER,idle
116,ISR_EXIT,idle
116,ISR_ENTER,idle
117,ISR_EXIT,idle
117,ISR_ENTER,idle
118,ISR_EXIT,idle
118,ISR_ENTER,idle
119,ISR_EXIT,idle
119,ISR_ENTER,idle
120,THREAD_READY,task1
120,SWITCH,task1
120,ISR_EXIT,idle
120,SEM_WAIT,task1
120,SEM_WAIT,task1
120,SEM_SIGNAL,task1
120,SEM_SIGNAL,task1
120,SWITCH,idle
120,ISR_ENTER,idle
121,ISR_EXIT,idle
121,ISR_ENTER,idle
122,ISR_EXIT,idle
122,ISR_ENTER,idle
123,ISR_EXIT,idle
123,ISR_ENTER,idle
124,ISR_EXIT,idle
124,ISR_ENTER,idle
125,ISR_EXIT,idle
125,ISR_ENTER,idle
126,ISR_EXIT,idle
126,ISR_ENTER,idle
127,ISR_EXIT,idle
127,ISR_ENTER,idle
128,ISR_EXIT,idle
128,ISR_ENTER,idle
129,ISR_EXIT,idle
129,ISR_ENTER,idle
130,ISR_EXIT,idle
130,ISR_ENTER,idle
131,ISR_EXIT,idle
131,ISR_ENTER,idle
132,ISR_EXIT,idle
132,ISR_ENTER,idle
133,ISR_EXIT,idle
133,ISR_ENTER,idle
134,ISR_EXIT,idle
134,ISR_ENTER,idle
135,ISR_EXIT,idle
135,ISR_ENTER,idle
136,ISR_EXIT,idle
136,ISR_ENTER,idle
137,ISR_EXIT,idle
137,ISR_ENTER,idle
138,ISR_EXIT,idle
138,ISR_ENTER,idle
139,ISR_EXIT,idle
139,ISR_ENTER,idle
140,THREAD_READY,task2
140,SWITCH,task2
140,ISR_EXIT,idle
140,SEM_WAIT,task2
140,SEM_WAIT,task2
140,SEM_SIGNAL,task2
140,SEM_SIGNAL,task2
140,SWITCH,idle
140,ISR_ENTER,idle
141,ISR_EXIT,idle
141,ISR_ENTER,idle
142,ISR_EXIT,idle
142,ISR_ENTER,idle
143,ISR_EXIT,idle
143,ISR_ENTER,idle
144,ISR_EXIT,idle
144,ISR_ENTER,idle
145,ISR_EXIT,idle
145,ISR_ENTER,idle
146,ISR_EXIT,idle
146,ISR_ENTER,idle
147,ISR_EXIT,idle
147,ISR_ENTER,idle
148,ISR_EXIT,idle
148,ISR_ENTER,idle
149,ISR_EXIT,idle
149,ISR_ENTER,idle
150,THREAD_READY,task1
150,THREAD_READY,task3
150,SWITCH,task1
150,ISR_EXIT,idle
150,SEM_WAIT,task1
150,SEM_WAIT,task1
150,SEM_SIGNAL,task1
150,SEM_SIGNAL,task1
150,SWITCH,task3
150,SWITCH,idle
150,ISR_ENTER,idle
151,ISR_EXIT,idle
151,ISR_ENTER,idle
152,ISR_EXIT,idle
152,ISR_ENTER,idle
153,ISR_EXIT,idle
153,ISR_ENTER,idle
154,ISR_EXIT,idle
154,ISR_ENTER,idle
155,ISR_EXIT,idle
155,ISR_ENTER,idle
156,ISR_EXIT,idle
156,ISR_ENTER,idle
157,ISR_EXIT,idle
157,ISR_ENTER,idle
158,ISR_EXIT,idle
158,ISR_ENTER,idle
159,ISR_EXIT,idle
159,ISR_ENTER,idle
160,ISR_EXIT,idle
160,ISR_ENTER,idle
161,ISR_EXIT,idle
161,ISR_ENTER,idle
162,ISR_EXIT,idle
162,ISR_ENTER,idle
163,ISR_EXIT,idle
163,ISR_ENTER,idle
164,ISR_EXIT,idle
164,ISR_ENTER,idle
165,ISR_EXIT,idle
165,ISR_ENTER,idle
166,ISR_EXIT,idle
166,ISR_ENTER,idle
167,ISR_EXIT,idle
167,ISR_ENTER,idle
168,ISR_EXIT,idle
168,ISR_ENTER,idle
169,ISR_EXIT,idle
169,ISR_ENTER,idle
170,ISR_EXIT,idle
170,ISR_ENTER,idle
171,ISR_EXIT,idle
171,ISR_ENTER,idle
172,ISR_EXIT,idle
172,ISR_ENTER,idle
173,ISR_EXIT,idle
173,ISR_ENTER,idle
174,ISR_EXIT,idle
174,ISR_ENTER,idle
175,THREAD_READY,task2
175,SWITCH,task2
175,ISR_EXIT,idle
175,SEM_WAIT,task2
175,SEM_WAIT,task2
175,SEM_SIGNAL,task2
175,SEM_SIGNAL,task2
175,SWITCH,idle
175,ISR_ENTER,idle
176,ISR_EXIT,idle
176,ISR_ENTER,idle
177,ISR_EXIT,idle
177,ISR_ENTER,idle
178,ISR_EXIT,idle
178,ISR_ENTER,idle
179,ISR_EXIT,idle
179,ISR_ENTER,idle
180,THREAD_READY,task1
180,SWITCH,task1
180,ISR_EXIT,idle
180,SEM_WAIT,task1
180,SEM_WAIT,task1
180,SEM_SIGNAL,task1
180,SEM_SIGNAL,task1
180,SWITCH,idle
180,ISR_ENTER,idle
181,ISR_EXIT,idle
181,ISR_ENTER,idle
182,ISR_EXIT,idle
182,ISR_ENTER,idle
183,ISR_EXIT,idle
183,ISR_ENTER,idle
184,ISR_EXIT,idle
184,ISR_ENTER,idle
185,ISR_EXIT,idle
185,ISR_ENTER,idle
186,ISR_EXIT,idle
186,ISR_ENTER,idle
187,ISR_EXIT,idle
187,ISR_ENTER,idle
188,ISR_EXIT,idle
188,ISR_ENTER,idle
189,ISR_EXIT,idle
189,ISR_ENTER,idle
190,ISR_EXIT,idle
190,ISR_ENTER,idle
191,ISR_EXIT,idle
191,ISR_ENTER,idle
192,ISR_EXIT,idle
192,ISR_ENTER,idle
193,ISR_EXIT,idle
193,ISR_ENTER,idle
